,targets_x,targets_y,scores
0,3,8,43.088013771925276
1,15,14,43.088013771925276
2,19,16,43.088013771925276
3,16,7,43.088013771925276
4,1,5,43.088013771925276
5,18,13,43.186556087706386
6,18,1,43.186556087706386
7,9,2,43.186556087706386
8,19,0,43.186556087706386
9,4,10,43.186556087706386
10,17,11,48.8510722244706
11,10,1,48.8510722244706
12,1,13,48.8510722244706
13,6,3,48.8510722244706
14,4,2,48.8510722244706
15,4,9,44.075286898088805
16,17,11,44.075286898088805
17,18,2,44.075286898088805
18,18,4,44.075286898088805
19,3,0,44.075286898088805
20,2,5,24.277316063573693
21,1,5,24.277316063573693
22,11,14,24.277316063573693
23,3,9,24.277316063573693
24,3,11,24.277316063573693
25,8,4,33.64070977380687
26,3,9,33.64070977380687
27,4,2,33.64070977380687
28,10,15,33.64070977380687
29,1,4,33.64070977380687
30,3,2,35.98597839339292
31,8,13,35.98597839339292
32,8,8,35.98597839339292
33,7,2,35.98597839339292
34,0,13,35.98597839339292
35,3,12,33.25612437005367
36,7,2,33.25612437005367
37,10,16,33.25612437005367
38,6,16,33.25612437005367
39,2,9,33.25612437005367
40,10,10,40.28196795641723
41,4,18,40.28196795641723
42,8,18,40.28196795641723
43,17,2,40.28196795641723
44,19,10,40.28196795641723
45,19,11,49.48998924771398
46,17,12,49.48998924771398
47,0,5,49.48998924771398
48,0,17,49.48998924771398
49,18,15,49.48998924771398
50,10,13,38.61623929169495
51,16,16,38.61623929169495
52,11,12,38.61623929169495
53,1,0,38.61623929169495
54,9,1,38.61623929169495
55,4,9,37.94720447226482
56,10,18,37.94720447226482
57,12,4,37.94720447226482
58,10,2,37.94720447226482
59,11,12,37.94720447226482
60,4,18,53.0702868551308
61,10,10,53.0702868551308
62,19,1,53.0702868551308
63,18,4,53.0702868551308
64,15,14,53.0702868551308
65,5,4,37.95991915890018
66,4,10,37.95991915890018
67,11,15,37.95991915890018
68,18,3,37.95991915890018
69,17,7,37.95991915890018
70,4,11,20.118983450276403
71,11,13,20.118983450276403
72,9,16,20.118983450276403
73,11,14,20.118983450276403
74,11,13,20.118983450276403
75,0,18,46.38799906166073
76,7,18,46.38799906166073
77,11,17,46.38799906166073
78,17,7,46.38799906166073
79,8,8,46.38799906166073
80,4,2,52.890523282609095
81,11,17,52.890523282609095
82,4,12,52.890523282609095
83,1,15,52.890523282609095
84,17,6,52.890523282609095
85,6,4,30.48321036882255
86,9,13,30.48321036882255
87,9,3,30.48321036882255
88,12,14,30.48321036882255
89,18,5,30.48321036882255
90,8,4,37.62937160835848
91,3,1,37.62937160835848
92,18,5,37.62937160835848
93,8,13,37.62937160835848
94,2,6,37.62937160835848
95,19,5,45.02632808687947
96,18,2,45.02632808687947
97,4,18,45.02632808687947
98,1,18,45.02632808687947
99,10,16,45.02632808687947
100,1,12,47.31168779549326
101,8,4,47.31168779549326
102,10,14,47.31168779549326
103,18,13,47.31168779549326
104,0,18,47.31168779549326
105,9,2,40.89876209225817
106,11,3,40.89876209225817
107,6,3,40.89876209225817
108,18,13,40.89876209225817
109,1,18,40.89876209225817
110,9,3,39.34105458241619
111,16,15,39.34105458241619
112,3,10,39.34105458241619
113,7,16,39.34105458241619
114,4,8,39.34105458241619
115,11,11,37.158270230564355
116,7,17,37.158270230564355
117,8,3,37.158270230564355
118,2,0,37.158270230564355
119,7,17,37.158270230564355
120,0,14,25.807485995594426
